INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-01 00:33:47, 41322198035, 4759,  SIEDLCE ,  Józefa Wieniawskiego, 98);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-04 05:21:48, 80241856299, 9388,  BRĘTOWO ,  Wichrowe Wzgórze, 111);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-04 08:32:34, 80241856299, 6930,  SIEDLCE ,  Sowia, 196);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-04 08:34:41, 80241856299, 9185,  WRZESZCZ DOLNY ,  Mikołaja Reja, 256);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-04 09:54:33, 96042681033, 9748,  WZGÓRZE MICKIEWICZA ,  Pana Tadeusza, 109);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-04 10:52:04, 01011365018, 9385,  UJEŚCISKO-ŁOSTOWICE ,  Jeleniogórska, 235);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-04 11:25:37, 17292862588, 876,  SIEDLCE ,  Andrzeja Struga, 155);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-04 13:01:27, 17292862588, 4982,  ŚRÓDMIEŚCIE ,  Olejarna, 34);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-04 13:43:48, 17292862588, 8604,  CHEŁM ,  Ametystowa, 53);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-04 22:06:20, 79241113374, 0399,  UJEŚCISKO-ŁOSTOWICE ,  Szymbarska, 110);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-04 22:56:44, 87292749103, 5468,  SIEDLCE ,  Józefa Pankiewicza, 25);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-05 01:31:14, 43250898634, 2181,  BRĘTOWO ,  Gustawa Herlinga - Grudzińskiego, 228);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-05 07:13:22, 43250898634, 4317,  CHEŁM ,  Władysława Świechockiego, 238);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-05 11:58:43, 89121336890, 6542,  OSOWA ,  Wenus, 32);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-05 15:23:36, 93060695897, 6459,  WYSPA SOBIESZEWSKA ,  Begoniowa, 81);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-05 18:46:24, 07302185088, 5812,  WRZESZCZ GÓRNY ,  Migowska, 101);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-06 02:07:34, 04230441459, 757,  II ŚRÓDMIEŚCIE ,  Grobla, 86);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-06 06:45:48, 04230441459, 5674,  ŚRÓDMIEŚCIE ,  Jana Heweliusza, 87);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-06 10:24:18, 62211516053, 689,  CHEŁM ,  Kazimierza Wielkiego, 194);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-06 20:25:17, 79012643354, 0708,  ŚRÓDMIEŚCIE ,  Św. Barbary, 160);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-06 20:53:44, 79012643354, 5205,  WRZESZCZ DOLNY ,  Franciszka Bohomolca, 165);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-06 22:14:23, 67122013415, 6609,  PIECKI-MIGOWO ,  Jaśkowa Dolina, 145);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-06 23:33:27, 01312189661, 6812,  WRZESZCZ GÓRNY ,  Henryka Sienkiewicza, 6);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-07 01:25:06, 65020669680, 2233,  ŚRÓDMIEŚCIE ,  3 Maja, 187);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-07 02:27:04, 54111021287, 3247,  STOGI ,  Pirs Paliwowy , 87);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-07 05:08:39, 54111021287, 8888,  MATARNIA ,  Spadochroniarzy, 1);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-07 07:34:49, 80111628544, 1465,  KOKOSZKI ,  Metalowców, 37);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-07 12:39:18, 12041193690, 5367,  CHEŁM ,  Królowej Bony, 132);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-07 14:13:27, 70301820171, 1585,  ORUNIA-ŚW. WOJCIECH-LIPCE ,  Diamentowa, 65);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-07 15:31:33, 88230828823, 6918,  PIECKI-MIGOWO ,  Orańska, 227);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-07 16:26:24, 65252664323, 4934,  ORUNIA-ŚW. WOJCIECH-LIPCE ,  Stroma, 139);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-07 22:24:15, 86271794358, 5332,  PRZYMORZE WIELKIE ,  Chłopska, 102);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-07 22:35:25, 12011643840, 5170,  OSOWA ,  Sopocka, 202);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-08 05:59:26, 53030768318, 2266,  BRĘTOWO ,  Góralska, 8);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-08 07:13:28, 15243011951, 1550,  SUCHANINO ,  Otwarta, 189);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-08 08:34:49, 15243011951, 3240,  WRZESZCZ GÓRNY ,  Jana Dekerta, 150);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-08 08:36:49, 40291194473, 5756,  CHEŁM ,  prof. Józefa Więckowskiego, 256);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-08 08:57:57, 40291194473, 3429,  SIEDLCE ,  Józefa Wieniawskiego, 108);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-08 09:55:09, 68100134829, 1187,  PRZYMORZE MAŁE ,  Leszka Białego, 114);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-08 12:42:26, 58311286844, 2495,  PIECKI-MIGOWO ,  Amundsena, 232);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-08 19:44:09, 83291425440, 2555,  NOWY PORT ,  Rybołowców, 136);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-08 23:49:09, 92262841837, 7416,  CHEŁM ,  Jagatowska, 105);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-09 00:15:00, 46102434970, 1894,  ŚRÓDMIEŚCIE ,  Skwer im. Czesława Niemena , 126);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-09 03:38:36, 66040357553, 6380,  KRAKOWIEC-GÓRKI ZACHODNIE ,  Kutnowska, 135);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-09 08:29:15, 24022947428, 3272,  OSOWA ,  Akteona, 252);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-09 10:59:30, 22291220488, 6356,  PRZYMORZE WIELKIE ,  Chłopska, 146);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-09 13:26:52, 22291220488, 7467,  STOGI ,  Tamka, 257);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-09 18:32:28, 22291220488, 6726,  ŚRÓDMIEŚCIE ,  Tkacka, 231);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-09 22:22:35, 77220626516, 5237,  WRZESZCZ GÓRNY ,  Antoniego Lendziona, 212);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-09 22:33:05, 11302616899, 8344,  JASIEŃ ,  Szczęśliwa, 29);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-10 01:23:46, 70060750362, 2690,  I ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Mieszka, 196);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-10 03:39:10, 32082838451, 1706,  OLIWA ,  Nadwodna, 218);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-10 04:19:12, 53020396026, 0369,  UJEŚCISKO-ŁOSTOWICE ,  kmdr. Tadeusza Bramińskiego, 249);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-10 05:18:01, 53020396026, 9194,  VII DWÓR ,  Aleksandra Potyrały, 168);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-10 07:53:18, 71112471507, 7938,  ŚRÓDMIEŚCIE ,  Zawodników, 66);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-10 16:30:14, 18280363766, 4179,  BRZEŹNO ,  Herbowa, 167);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-10 19:17:28, 68261618660, 1762,  ZASPA-ROZSTAJE ,  Aleja Rzeczypospolitej, 149);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-10 21:49:07, 97040583693, 1689,  ORUNIA-ŚW. WOJCIECH-LIPCE ,  Inspektorska, 232);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-11 08:12:52, 94281164162, 962,  BRĘTOWO ,  Jerzego Giedroycia, 179);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-11 19:58:00, 82121726278, 0446,  LETNICA ,  Stalowa, 232);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-11 21:36:43, 82121726278, 5604,  OSOWA ,  Eurydyki, 78);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-12 07:51:19, 80112790802, 2656,  WYSPA SOBIESZEWSKA ,  Begoniowa, 76);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-12 08:56:53, 80112790802, 7640,  WRZESZCZ GÓRNY ,  Antoniego Słonimskiego, 257);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-12 11:02:01, 98310419083, 8289,  ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Subisława, 233);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-12 12:33:00, 71112471507, 4407,  PIECKI-MIGOWO ,  Józefa Żylewicza, 107);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-12 13:21:54, 71112471507, 2845,  CHEŁM ,  Władysława Jagiełły, 112);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-12 13:51:10, 10102757407, 9213,  WRZESZCZ GÓRNY ,  Srebrniki, 258);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-12 15:52:46, 24120950399, 826,  WRZESZCZ GÓRNY ,  Zabytkowa, 185);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-12 17:40:49, 24120950399, 4934,  SIEDLCE ,  Kartuska, 219);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-12 21:37:19, 65302369073, 3500,  ŚRÓDMIEŚCIE ,  Kamienna Grobla, 128);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-12 22:20:07, 70221893976, 6549,  ŚRÓDMIEŚCIE ,  Mniszki, 213);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-12 23:59:05, 70221893976, 0830,  PIECKI-MIGOWO ,  Myśliwska, 106);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-13 12:55:54, 50061172680, 5381,  MATARNIA ,  Sąsiedzka, 95);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-13 13:52:09, 00060817361, 2415,  ŚRÓDMIEŚCIE ,  Młyńska, 157);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-13 15:08:23, 92122460110, 5756,  ORUNIA-ŚW. WOJCIECH-LIPCE ,  Wschodnia, 23);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-13 18:17:01, 92122460110, 6791,  CHEŁM ,  Wigierska, 42);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-13 20:08:55, 92122460110, 3958,  VII DWÓR ,  Krasnoludków, 77);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-14 01:43:55, 58110145771, 5282,  UJEŚCISKO-ŁOSTOWICE ,  Bieszczadzka, 120);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-15 00:44:58, 58110145771, 3402,  SIEDLCE ,  Winnicka, 105);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-15 04:27:44, 05220358588, 7229,  WRZESZCZ DOLNY ,  Mikołaja Reja, 106);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-15 04:29:10, 85062928381, 4934,  PIECKI-MIGOWO ,  Jaśkowa Dolina, 92);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-15 07:05:55, 85062928381, 5560,  WRZESZCZ GÓRNY ,  Juliusza Kossaka, 40);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-15 08:05:57, 85062928381, 0902,  ŚRÓDMIEŚCIE ,  Reduta Miejska, 29);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-15 14:41:01, 28222097479, 2847,  ŚRÓDMIEŚCIE ,  Podgarbary, 41);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-15 16:01:47, 28222097479, 4217,  ORUNIA-ŚW. WOJCIECH-LIPCE ,  Zawiejska, 81);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-15 19:35:53, 52092679930, 2704,  ORUNIA-ŚW. WOJCIECH-LIPCE ,  Cmentarna, 131);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-16 01:06:43, 27102073774, 2846,  STRZYŻA ,  Fryderyka Chopina, 219);
